ID,L_name,Team,URL
Backes (Blues),Backes,Blues,http://www.nhl.com/ice/player.htm?id=8470655
Backstrom (Caps),Backstrom,Caps,http://www.nhl.com/ice/player.htm?id=8473563
Brassard (Rangers),Brassard,Rangers,http://www.nhl.com/ice/player.htm?id=8473544
Callahan (Lightning),Callahan,Lightning,http://www.nhl.com/ice/player.htm?id=8471339
Crosby (Pens),Crosby,Pens,http://www.nhl.com/ice/player.htm?id=8471675
D. Sedin (Cannuks),D. Sedin,Cannucks,http://www.nhl.com/ice/player.htm?id=8467875
Forsberg (Preds),Forsberg,Preds,http://www.nhl.com/ice/player.htm?id=8476887
Gaudreau (Flames),Gaudreau,Flames,http://www.nhl.com/ice/player.htm?id=8476346
Getzlaf (Ducks),Getzlaf,Ducks,http://www.nhl.com/ice/player.htm?id=8470612
Green (Caps),Green,Caps,http://www.nhl.com/ice/player.htm?id=8471242
Hossa (Hawks),Hossa,Hawks,http://www.nhl.com/ice/player.htm?id=8466148
Hudler (Flames),Hudler,Flames,http://www.nhl.com/ice/player.htm?id=8470201
Johnson (Lightning),Johnson,Lightning,http://www.nhl.com/ice/player.htm?id=8474870
Kane (Hawks),Kane,Hawks,http://www.nhl.com/ice/player.htm?id=8474141
Keith (Hawks),Keith,Hawks,http://www.nhl.com/ice/player.htm?id=8470281
Kycerov (Lightning),Kycerov,Lightning,http://www.nhl.com/ice/player.htm?id=8476453
Lehtra (Blues),Lehtera,Blues,http://www.nhl.com/ice/player.htm?id=8474627
Monahan (Flames),Monahan,Flames,http://www.nhl.com/ice/player.htm?id=8477497
Nash (Rangers),Nash,Rangers,http://www.nhl.com/ice/player.htm?id=8470041
Ovechkin (Caps),Ovechkin,Caps,http://www.nhl.com/ice/player.htm?id=8471214
Pacioretty (Canadians),Pacioretty,Canadians,http://www.nhl.com/ice/player.htm?id=8474157
Palat (Lightning),Palat,Lightning,http://www.nhl.com/ice/player.htm?id=8476292
Parise (Wild),Parise,Wild,http://www.nhl.com/ice/player.htm?id=8470610
Perry (Ducks),Perry,Ducks,http://www.nhl.com/ice/player.htm?id=8470621
St. Louis (Rangers),St. Louis,Rangers,http://www.nhl.com/ice/player.htm?id=8466378
Stamkos (Lightning),Stamkos,Lightning,http://www.nhl.com/ice/player.htm?id=8474564
Stastny (Blues),Stastny,Blues,http://www.nhl.com/ice/player.htm?id=8471669
Steen (Blues),Steen,Blues,http://www.nhl.com/ice/player.htm?id=8470257
Stepan (Rangers),Stepan,Rangers,http://www.nhl.com/ice/player.htm?id=8474613
Subban (Canadians),Subban,Canadians,http://www.nhl.com/ice/player.htm?id=8474056
Tarasenko (Blues),Tarasenko,Blues,http://www.nhl.com/ice/player.htm?id=8475765
Tavares (Islanders),Tavares,Islanders,http://www.nhl.com/ice/player.htm?id=8475166
Toews (Hawks),Toews,Hawks,http://www.nhl.com/ice/player.htm?id=8473604
